White,Asian,Black,Mixed/ Other,Total,Code,Borough,Year,Delete ,Month_Number,Weekly_pay_parttime,Monthly_pay_parttime,weekly_pay_fulltime,Monthly_pay_fulltime,Employees_number,selfemployed_number,fulltime_work_number,parttime_work_number
"170,000","30,000","51,000","20,000","272,000",E09000011,Greenwich,2015,51,52,191.7,766.8,597.3,2389.2,"116,400","17,700","103,800","30,300"
"145,000","19,000","55,000","48,000","268,000",E09000012,Hackney,2015,51,52,150.4,601.6,602.1,2408.4,"106,900","26,600","101,000","31,500"
"119,000","15,000","23,000","23,000","180,000",E09000013,Hammersmith and Fulham,2015,51,52,171.3,685.2,686.3,2745.2,"79,800","17,900","80,700","17,300"
"164,000","21,000","46,000","36,000","267,000",E09000014,Haringey,2015,51,52,158.3,633.2,576.5,2306,"105,000","31,300","102,500","33,800"
"103,000","106,000","13,000","23,000","245,000",E09000015,Harrow,2015,51,52,171.1,684.4,626.9,2507.6,"96,100","20,000","90,100","25,700"
"217,000","13,000","11,000","7,000","248,000",E09000016,Havering,2015,51,52,188.7,754.8,624.7,2498.8,"101,700","16,200","93,200","24,900"
"159,000","74,000","36,000","24,000","293,000",E09000017,Hillingdon,2015,51,52,172.8,691.2,603.6,2414.4,"124,800","19,100","107,800","36,300"
"128,000","92,000","20,000","23,000","264,000",E09000018,Hounslow,2015,51,52,158,632,560.6,2242.4,"105,000","28,800","109,200","24,400"
"151,000","22,000","21,000","30,000","225,000",E09000019,Islington,2015,51,52,178.1,712.4,670.8,2683.2,"101,600","20,300","101,000","21,000"
"104,000","12,000","15,000","25,000","156,000",E09000020,Kensington and Chelsea,2015,51,52,171.9,687.6,771.4,3085.6,"55,400","17,900","60,500","13,300"
"130,000","20,000","2,000","16,000","169,000",E09000021,Kingston upon Thames,2015,51,52,180.5,722,710.2,2840.8,"69,600","14,900","62,600","22,300"
"199,000","13,000","71,000","33,000","316,000",E09000022,Lambeth,2015,51,52,156.2,624.8,616.5,2466,"157,200","30,200","152,000","35,400"
